Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.296,0.444,0.2
birch,Recall,0.0,1.0,0.0,0.306,0.458,0.212
birch,F-Score,0.0,1.0,0.0,0.298,0.446,0.201
iforest,Precision,0.0,1.0,0.0,0.259,0.425,0.183
iforest,Recall,0.0,1.0,0.0,0.269,0.44,0.196
iforest,F-Score,0.0,1.0,0.0,0.261,0.427,0.184
knn,Precision,0.0,1.0,0.0,0.271,0.432,0.189
knn,Recall,0.0,1.0,0.0,0.281,0.446,0.202
knn,F-Score,0.0,1.0,0.0,0.273,0.434,0.19
lstm,Precision,0.0,1.0,0.0,0.184,0.373,0.141
lstm,Recall,0.0,1.0,0.0,0.194,0.391,0.155
lstm,F-Score,0.0,1.0,0.0,0.186,0.375,0.142
svm,Precision,0.0,1.0,0.0,0.196,0.383,0.149
svm,Recall,0.0,1.0,0.0,0.206,0.401,0.163
svm,F-Score,0.0,1.0,0.0,0.198,0.385,0.15
