Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.525,0.499,0.253
birch,Recall,0.0,1.0,1.0,0.525,0.499,0.253
birch,F-Score,0.0,1.0,1.0,0.525,0.499,0.253
iforest,Precision,0.0,1.0,0.0,0.462,0.499,0.252
iforest,Recall,0.0,1.0,0.0,0.462,0.499,0.252
iforest,F-Score,0.0,1.0,0.0,0.462,0.499,0.252
knn,Precision,0.0,1.0,0.0,0.425,0.494,0.247
knn,Recall,0.0,1.0,0.0,0.425,0.494,0.247
knn,F-Score,0.0,1.0,0.0,0.425,0.494,0.247
lstm,Precision,0.0,1.0,0.0,0.4,0.49,0.243
lstm,Recall,0.0,1.0,0.0,0.4,0.49,0.243
lstm,F-Score,0.0,1.0,0.0,0.4,0.49,0.243
svm,Precision,0.0,1.0,0.0,0.425,0.494,0.247
svm,Recall,0.0,1.0,0.0,0.425,0.494,0.247
svm,F-Score,0.0,1.0,0.0,0.425,0.494,0.247
