Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.469,0.496,0.249
birch,Recall,0.0,1.0,0.0,0.462,0.492,0.245
birch,F-Score,0.0,1.0,0.0,0.463,0.49,0.243
iforest,Precision,0.0,1.0,0.0,0.356,0.476,0.229
iforest,Recall,0.0,1.0,0.0,0.35,0.47,0.224
iforest,F-Score,0.0,1.0,0.0,0.35,0.468,0.222
knn,Precision,0.0,1.0,0.0,0.369,0.479,0.233
knn,Recall,0.0,1.0,0.0,0.362,0.474,0.228
knn,F-Score,0.0,1.0,0.0,0.363,0.472,0.226
lstm,Precision,0.0,1.0,0.0,0.356,0.476,0.229
lstm,Recall,0.0,1.0,0.0,0.35,0.47,0.224
lstm,F-Score,0.0,1.0,0.0,0.35,0.468,0.222
svm,Precision,0.0,1.0,0.0,0.406,0.488,0.241
svm,Recall,0.0,1.0,0.0,0.4,0.483,0.237
svm,F-Score,0.0,1.0,0.0,0.4,0.481,0.235
