Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.775,0.418,0.177
birch,Recall,0.0,1.0,1.0,0.744,0.418,0.177
birch,F-Score,0.0,1.0,1.0,0.754,0.414,0.174
iforest,Precision,0.0,1.0,1.0,0.712,0.453,0.207
iforest,Recall,0.0,1.0,1.0,0.681,0.449,0.204
iforest,F-Score,0.0,1.0,1.0,0.692,0.447,0.202
knn,Precision,0.0,1.0,1.0,0.775,0.418,0.177
knn,Recall,0.0,1.0,1.0,0.744,0.418,0.177
knn,F-Score,0.0,1.0,1.0,0.754,0.414,0.174
lstm,Precision,0.0,1.0,1.0,0.65,0.477,0.23
lstm,Recall,0.0,1.0,1.0,0.619,0.469,0.223
lstm,F-Score,0.0,1.0,1.0,0.629,0.468,0.222
svm,Precision,0.0,1.0,1.0,0.762,0.426,0.183
svm,Recall,0.0,1.0,1.0,0.731,0.425,0.183
svm,F-Score,0.0,1.0,1.0,0.742,0.422,0.18
