Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.531,0.496,0.249
birch,Recall,0.0,1.0,0.75,0.519,0.49,0.243
birch,F-Score,0.0,1.0,0.667,0.521,0.488,0.241
iforest,Precision,0.0,1.0,0.25,0.494,0.497,0.25
iforest,Recall,0.0,1.0,0.25,0.481,0.49,0.243
iforest,F-Score,0.0,1.0,0.334,0.483,0.488,0.242
knn,Precision,0.0,1.0,0.0,0.456,0.495,0.248
knn,Recall,0.0,1.0,0.0,0.444,0.487,0.24
knn,F-Score,0.0,1.0,0.0,0.446,0.486,0.239
lstm,Precision,0.0,1.0,0.0,0.419,0.49,0.243
lstm,Recall,0.0,1.0,0.0,0.406,0.481,0.235
lstm,F-Score,0.0,1.0,0.0,0.408,0.48,0.233
svm,Precision,0.0,1.0,0.0,0.456,0.495,0.248
svm,Recall,0.0,1.0,0.0,0.444,0.487,0.24
svm,F-Score,0.0,1.0,0.0,0.446,0.486,0.239
