Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.667,0.51,0.491,0.244
birch,Recall,0.0,1.0,0.75,0.508,0.496,0.249
birch,F-Score,0.0,1.0,0.667,0.502,0.488,0.241
iforest,Precision,0.0,1.0,0.0,0.41,0.483,0.236
iforest,Recall,0.0,1.0,0.0,0.408,0.487,0.24
iforest,F-Score,0.0,1.0,0.0,0.402,0.478,0.232
knn,Precision,0.0,1.0,0.667,0.51,0.491,0.244
knn,Recall,0.0,1.0,0.75,0.508,0.496,0.249
knn,F-Score,0.0,1.0,0.667,0.502,0.488,0.241
lstm,Precision,0.0,1.0,0.0,0.385,0.478,0.231
lstm,Recall,0.0,1.0,0.0,0.383,0.482,0.235
lstm,F-Score,0.0,1.0,0.0,0.377,0.472,0.226
svm,Precision,0.0,1.0,0.0,0.435,0.487,0.24
svm,Recall,0.0,1.0,0.0,0.433,0.491,0.244
svm,F-Score,0.0,1.0,0.0,0.427,0.483,0.236
