Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.298,0.448,0.203
birch,Recall,0.0,1.0,0.0,0.312,0.464,0.218
birch,F-Score,0.0,1.0,0.0,0.303,0.452,0.207
iforest,Precision,0.0,1.0,0.0,0.235,0.414,0.173
iforest,Recall,0.0,1.0,0.0,0.25,0.433,0.19
iforest,F-Score,0.0,1.0,0.0,0.241,0.42,0.178
knn,Precision,0.0,1.0,0.0,0.298,0.448,0.203
knn,Recall,0.0,1.0,0.0,0.312,0.464,0.218
knn,F-Score,0.0,1.0,0.0,0.303,0.452,0.207
lstm,Precision,0.0,1.0,0.0,0.185,0.377,0.144
lstm,Recall,0.0,1.0,0.0,0.2,0.4,0.162
lstm,F-Score,0.0,1.0,0.0,0.191,0.384,0.15
svm,Precision,0.0,1.0,0.0,0.198,0.387,0.152
svm,Recall,0.0,1.0,0.0,0.212,0.409,0.169
svm,F-Score,0.0,1.0,0.0,0.203,0.394,0.157
