Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.834,0.515,0.494,0.247
birch,Recall,0.0,1.0,1.0,0.516,0.497,0.251
birch,F-Score,0.0,1.0,0.734,0.511,0.492,0.245
iforest,Precision,0.0,1.0,0.0,0.452,0.492,0.245
iforest,Recall,0.0,1.0,0.0,0.453,0.495,0.249
iforest,F-Score,0.0,1.0,0.0,0.448,0.489,0.243
knn,Precision,0.0,1.0,0.0,0.44,0.49,0.243
knn,Recall,0.0,1.0,0.0,0.441,0.494,0.247
knn,F-Score,0.0,1.0,0.0,0.436,0.488,0.241
lstm,Precision,0.0,1.0,0.0,0.39,0.482,0.235
lstm,Recall,0.0,1.0,0.0,0.391,0.485,0.239
lstm,F-Score,0.0,1.0,0.0,0.386,0.479,0.232
svm,Precision,0.0,1.0,0.0,0.44,0.49,0.243
svm,Recall,0.0,1.0,0.0,0.441,0.494,0.247
svm,F-Score,0.0,1.0,0.0,0.436,0.488,0.241
