Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.41,0.483,0.236
birch,Recall,0.0,1.0,0.0,0.425,0.494,0.247
birch,F-Score,0.0,1.0,0.0,0.416,0.486,0.239
iforest,Precision,0.0,1.0,0.0,0.298,0.448,0.203
iforest,Recall,0.0,1.0,0.0,0.312,0.464,0.218
iforest,F-Score,0.0,1.0,0.0,0.303,0.452,0.207
knn,Precision,0.0,1.0,0.0,0.298,0.448,0.203
knn,Recall,0.0,1.0,0.0,0.312,0.464,0.218
knn,F-Score,0.0,1.0,0.0,0.303,0.452,0.207
lstm,Precision,0.0,1.0,0.0,0.285,0.442,0.198
lstm,Recall,0.0,1.0,0.0,0.3,0.458,0.213
lstm,F-Score,0.0,1.0,0.0,0.291,0.447,0.202
svm,Precision,0.0,1.0,0.0,0.335,0.463,0.217
svm,Recall,0.0,1.0,0.0,0.35,0.477,0.23
svm,F-Score,0.0,1.0,0.0,0.341,0.467,0.221
