Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.44,0.49,0.243
birch,Recall,0.0,1.0,0.0,0.45,0.497,0.251
birch,F-Score,0.0,1.0,0.0,0.443,0.492,0.245
iforest,Precision,0.0,1.0,0.0,0.377,0.479,0.232
iforest,Recall,0.0,1.0,0.0,0.388,0.487,0.24
iforest,F-Score,0.0,1.0,0.0,0.381,0.481,0.234
knn,Precision,0.0,1.0,0.0,0.352,0.471,0.225
knn,Recall,0.0,1.0,0.0,0.362,0.481,0.234
knn,F-Score,0.0,1.0,0.0,0.356,0.474,0.227
lstm,Precision,0.0,1.0,0.0,0.315,0.458,0.212
lstm,Recall,0.0,1.0,0.0,0.325,0.468,0.222
lstm,F-Score,0.0,1.0,0.0,0.318,0.461,0.215
svm,Precision,0.0,1.0,0.0,0.365,0.475,0.229
svm,Recall,0.0,1.0,0.0,0.375,0.484,0.237
svm,F-Score,0.0,1.0,0.0,0.368,0.477,0.231
