Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.762,0.426,0.183
birch,Recall,0.0,1.0,1.0,0.715,0.428,0.185
birch,F-Score,0.0,1.0,1.0,0.729,0.421,0.18
iforest,Precision,0.0,1.0,1.0,0.75,0.433,0.19
iforest,Recall,0.0,1.0,1.0,0.702,0.434,0.19
iforest,F-Score,0.0,1.0,1.0,0.717,0.428,0.185
knn,Precision,0.0,1.0,1.0,0.762,0.426,0.183
knn,Recall,0.0,1.0,1.0,0.715,0.428,0.185
knn,F-Score,0.0,1.0,1.0,0.729,0.421,0.18
lstm,Precision,0.0,1.0,1.0,0.638,0.481,0.234
lstm,Recall,0.0,1.0,1.0,0.59,0.47,0.224
lstm,F-Score,0.0,1.0,1.0,0.604,0.468,0.222
svm,Precision,0.0,1.0,1.0,0.75,0.433,0.19
svm,Recall,0.0,1.0,1.0,0.702,0.434,0.19
svm,F-Score,0.0,1.0,1.0,0.717,0.428,0.185
