service_name,true_positives,false_positives,false_negatives,precision,recall,f1score
carts_energy_Anomaly,0,0,0,0.0,0.0,0.0
carts-db_energy_Anomaly,0,0,0,0.0,0.0,0.0
catalogue_energy_Anomaly,1,0,0,1.0,1.0,1.0
catalogue-db_energy_Anomaly,1,0,2,1.0,0.333,0.5
front-end_energy_Anomaly,2,1,0,0.667,1.0,0.8
orders_energy_Anomaly,1,0,1,1.0,0.5,0.667
orders-db_energy_Anomaly,1,0,1,1.0,0.5,0.667
payment_energy_Anomaly,2,0,2,1.0,0.5,0.667
queue-master_energy_Anomaly,1,0,0,1.0,1.0,1.0
rabbitmq_energy_Anomaly,1,0,5,1.0,0.167,0.286
shipping_energy_Anomaly,1,0,1,1.0,0.5,0.667
user_energy_Anomaly,1,0,0,1.0,1.0,1.0
user-db_energy_Anomaly,1,0,14,1.0,0.067,0.126
