time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701225766.7770002,13.887304868760523,0.0942759881117716,0.0340000512615433,30.878428530933032,319.76122900734725,0.1471202274251416,0.1585426136067083,0.0357859938066866,0.0,17111754.691754427,11706234.270608172,3454409.087396124,24694458.23148648,10552093.450910896,5490453.230576337,198510.6308761246,0.0,2685948.900459576,0.0,817.8616536390917,0.0,87.2027821410984,895.0604726747588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218649805891411,0.0416726310646463,0.0203985731515149,1.641919274018939,13.890625740511616,0.049375013267929,0.0689506672497472,0.0093307977196966,0.0643729961178282,0.0083345262129292,0.004079714630303,0.3283838548037878,2.778125148102323,0.0098750026535857,0.0137901334499494,0.0018661595439393
1701225796.7770002,40.91644601858578,0.0729681618802216,0.0277835565430133,80.24325511737774,853.2534638911203,0.1128291620781949,0.1302585633177533,0.03318707385455,0.0,23129609.27669294,3453896.52734525,5956413.943134458,25857175.901705224,6490617.400979078,3234319.517678688,398836.51413398585,0.0,665.6652772202352,0.0,5399.924131085333,0.0,1390793.802927696,1459.7109693962836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1461593665164138,0.0133728537207068,0.0,3.1336078119474746,36.90290390796667,0.0143241166704543,0.0183205752984845,0.0,0.2292318733032827,0.0026745707441413,0.0,0.626721562389495,7.380580781593333,0.0028648233340908,0.0036641150596969,0.0
1701225826.7770002,51.48997538330033,0.0664682604670833,0.0280245354811433,94.32502701299268,1013.4205901691691,0.1024909794801383,0.1192678332486249,0.0319507295759483,0.0,34212309.089170635,6977679.891028531,5402584.163316079,31935496.69461022,5404410.873042907,3241443.4929332198,66293.69885532629,0.0,746.3675197646785,0.0,9778.95759843803,0.0,2759235.324895485,1390.8496949472094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5340610454545454,0.0034150677800502,0.0009274154040399,2.4430742575757574,38.63116881818181,0.0064469119118684,0.0072669846588381,0.0,0.306812209090909,0.00068301355601,0.000185483080808,0.4886148515151514,7.726233763636363,0.0012893823823736,0.0014533969317676,0.0
1701225856.7770002,50.4131971992097,0.0668005754155449,0.0271837725123733,93.20513199529006,1014.1627317942648,0.106833516837685,0.1180315592960082,0.0310156244648949,0.0,24952261.91789512,4841616.086912497,5745499.450639404,37846421.19577964,7990777.98945623,3532704.8001574185,0.0,0.0,5389047.323221472,0.0,6518.379577149862,0.0,2433910.621946688,953.8251043498468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7996375303030303,0.0034149300106057,0.0011128984848479,2.848539636363636,28.08694406060606,0.0068138890075754,0.0060127864194442,0.0,0.359927506060606,0.0006829860021211,0.0002225796969696,0.5697079272727272,5.617388812121212,0.0013627778015151,0.0012025572838888,0.0
1701225886.7770002,49.94022674946236,0.0723806449420232,0.0262380301692532,92.40668849551568,1014.1534559705444,0.1095358021382483,0.1198487678786549,0.032549987076605,0.0,29156687.050542627,3378878.681228708,4848037.969168226,42714424.41467353,8373624.594026704,2747141.689099672,0.0,0.0,7965536.99497573,0.0,2619.821673641632,0.0,1051464.975293555,1216.9756992517785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6024733333333332,0.0041558875457066,0.0009170711553029,3.117464121212121,35.57553924242424,0.0065670346752522,0.0068029167487371,0.0,0.3204946666666666,0.0008311775091413,0.0001834142310605,0.6234928242424241,7.115107848484848,0.0013134069350504,0.0013605833497474,0.0
1701225916.7770002,50.54981425409334,0.0727834963506966,0.0378826914162466,93.06945293856744,1013.704664436559,0.1073083757887066,0.1169129595283399,0.0304339431238649,0.0,26536472.708517123,6195322.762699335,6934485.669352357,38512674.30182125,7277936.018012013,3009936.3306472376,0.0,0.0,1359890.8595057817,36451.4538432568,1276.607826155286,0.0,0.0,1516.5301338980214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.468282439393939,0.0037426010808077,0.0020295416022726,2.5067661212121206,38.74897369696969,0.0058825133641411,0.0073628913037874,0.0,0.2936564878787878,0.0007485202161615,0.0004059083204545,0.5013532242424242,7.749794739393939,0.0011765026728282,0.0014725782607575,0.0
1701225946.7770002,51.07439428536613,0.0671598242645149,0.0473972350154533,94.3384802871562,1013.6883165449062,0.1054922279009033,0.1152755276008549,0.0360997070961883,0.0,10910355.250551729,10153018.505882978,9441306.613341184,30538992.90652405,6156358.325060829,4249297.682689161,0.0,0.0,558.5481632696354,72954.40357830256,717.4906637808846,0.0,0.0,2058.1211094255427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457657136363636,0.0046685891893937,0.0011148674590905,2.520886212121212,31.69467337878788,0.0050824969361108,0.0066620830580805,0.0,0.2915314272727272,0.0009337178378787,0.0002229734918181,0.5041772424242424,6.338934675757575,0.0010164993872221,0.0013324166116161,0.0
1701225976.7770002,50.727517326166016,0.0673141326002049,0.0332221857820599,94.6841760725399,1013.776576276518,0.1078614862757932,0.113611134262675,0.0331307747822266,0.0,23114088.233328164,16708095.65805927,8274755.465058059,33216283.363344524,7218251.032243949,2753354.7433288503,65698.3497175643,0.0,111.34702149966996,23655.29010510923,800.6460170774948,0.0,0.0,2357.289685644932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3873934696969694,0.0048354730260098,0.0,3.2189741818181816,30.55912493939394,0.0054601668760099,0.005741260388131,0.0,0.2774786939393939,0.0009670946052019,0.0,0.6437948363636363,6.111824987878788,0.0010920333752019,0.0011482520776262,0.0
1701226006.7770002,51.53369163639255,0.0696438318077483,0.0268186863558983,94.57128014213968,1013.8966808088206,0.1110864076806983,0.1158341720198233,0.0329466977923583,0.0,18598776.19658604,15483136.861079508,9429596.798615128,38720406.15687408,9394992.738974586,3770077.912444649,400095.6022298604,0.0,0.0,0.0,606.1636340019674,0.0,0.0,2747.219529940678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6920212424242422,0.0037115334037877,0.0010965474378785,3.339500606060606,36.820472606060605,0.0062883583661613,0.006342906533838,0.000722642082828,0.3384042484848484,0.0007423066807575,0.0002193094875757,0.6679001212121213,7.36409452121212,0.0012576716732322,0.0012685813067676,0.0001445284165656
1701226036.7770002,52.40654795228794,0.0710608889316983,0.0265926595604516,94.2662949371162,1013.3769140442988,0.1132571782852483,0.1142231666384533,0.0306608674015166,0.0,15582105.757333452,10098696.368824812,8666523.198136736,37675389.516060464,10908308.58347196,6577191.709343099,263183.6191155273,0.0,0.0,0.0,362.202561254511,0.0,0.0,2082.6749283203894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0818562727272725,0.0036996308787875,0.0009137895315654,3.340406,34.42268372727273,0.0071846483484846,0.0054263624277775,0.001083963124242,0.4163712545454545,0.0007399261757575,0.000182757906313,0.6680811999999999,6.884536745454546,0.0014369296696969,0.0010852724855555,0.0002167926248483
