time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy
1701121463.9540002,0.0073313396569699,36.4980771815488,1.3236375617199816,0.0086654591140666,17.976629140961148,0.16737474603389,0.1789698658811049,0.0328648214633249,0.0,9115851.324147396,1229050.964837409,0.0,12083671.6814003,8172257.528194077,2829219.035417924,0.0,0.0,7122731.424655322,541258.9304995812,0.0,5011868.364504243,4207.132673512597,4266.545815822708,0.0,0.0,1450974.5802323949,50626.05791574225,0.0,628800.7724212991,0.0,0.0,0.0,0.002873177160606,3.7437209316747473,0.1094332198444441,0.0069296939878784,0.0693322059585856,0.0549113280181815,0.0845549273924239,0.0
1701121493.9540002,0.0073714007513266,38.62754659886615,2.6972879681189887,0.0118970986918149,1.7389082834294731,0.1839062594684266,0.1878393380462166,0.0329121445579783,0.0,4200291.727654406,597608.6674562868,0.0,13933309.22777533,5965696.427899667,2856662.6193979275,380112.0277913315,0.0,4614436.961924006,371030.6519789421,0.0,1291827.450379341,4466.549747010926,4279.148874064703,0.0,0.0,649683.3653564533,95948.35204090942,0.0,64195.25831417459,0.0,0.0,0.0,0.005746354321212,5.75711610644798,0.4929115387439369,0.0023098979959594,0.0471898530747472,0.0425265891126259,0.043574652073232,0.0
1701121523.9540002,0.0077155711367083,23.499990079556586,2.938005118605858,0.0120507772936966,0.1635345303809549,0.1989881016583383,0.191454005980815,0.0363439237541999,0.0,757968.694318613,505046.5000205553,0.0,16186808.413983624,5183772.488503802,3283492.610273158,635344.4493030686,0.0,768570.4843313177,208263.13248990945,0.0,61.17540176913525,4473.131764897414,4193.659202212526,0.0,0.0,0.0,98219.74918101208,0.0,0.0,0.0,0.0,0.0,0.001915451440404,3.556271212121212,0.6985492738757575,0.0030340082242422,0.0344234435186865,0.0387915547404038,0.0507446995424239,0.0
1701121553.9540002,0.0076869522973299,22.825612360632714,3.041707383798033,0.0112494529793083,0.20207045395236,0.1976308820702233,0.19014761285085,0.0456554372028116,0.0,820489.5346167631,4172012.706251381,0.0,10148001.21870554,5905587.984161978,3375187.2791282567,853290.8264345467,0.0,814565.3950770431,1368073.3677834438,0.0,1325222.8767496748,269397.49922487297,4264.42326983654,24557.378654514385,0.0,0.0,90176.89196922706,0.0,0.0,0.0,0.0,72.84402919883662,0.0,3.3821000606060605,0.7372342059998905,0.0060680164484845,0.0362365688919189,0.038383424242424,0.047358815273232,0.0009988003202019
1701121583.9540002,0.0076847251144033,22.394408970629176,3.2596583380465685,0.0090340098080233,0.2478954235798433,0.1898350772127099,0.1883571814960316,0.0545890017283983,0.0,1664719.544524512,4161781.816607924,0.0,11008837.548711604,7937759.485021271,2722893.451533898,1062793.432346631,0.0,1657518.9196984582,1552056.3220453237,0.0,3909519.171100969,1622032.5275057263,4204.114048142573,73246.92428302791,0.0,0.0,88191.32541620266,0.0,0.0,0.0,0.0,63.363356225470255,0.0029952007287877,4.021692636363636,0.7603554973683332,0.0020226721494948,0.0398234645803028,0.039542439393939,0.0410923976580805,0.005992801921212
1701121613.9540002,0.008262640337095,22.79730606763433,3.3371403352766027,0.0097832641443799,0.1914179293050649,0.1894459090945966,0.1836712265200266,0.0421687583662116,0.0,1899360.1126860653,1796046.6192690397,0.0,9149662.194465771,5288680.739647775,3011360.607055249,201484.1924325137,0.0,1895242.0902545592,311686.853679336,0.0,1891362.9780570576,1056281.934174969,4108.362596764778,23647.06914945289,0.0,0.0,84458.12927583318,0.0,0.0,0.0,0.0,0.0,0.0059904014575755,3.9545180151515154,0.7827355205143937,0.0021998026575757,0.0321158944727269,0.0446181212121209,0.0417446599893937,0.0039952012808079
1701121643.9540002,0.0079251327293633,22.67023046105824,3.1037904381834505,0.0111929044279116,0.1602539539425016,0.1940234011173149,0.1873864722059,0.0343793923177733,0.0,2029675.6899070244,3062601.3216672637,0.0,4662410.387660204,4425604.614563145,3639676.779274821,0.0,0.0,2025125.9580412288,391660.01935223193,0.0,73.70697153412246,4154.88214390525,4314.129551011124,0.0,0.0,0.0,70830.9510970578,0.0,0.0,0.0,0.0,0.0,0.0019968004858585,3.846553727272728,0.8252407959304037,0.0043996053151515,0.0332891338136361,0.0440810527020198,0.0436392418868684,0.0
1701121673.9540002,0.0079308052888166,22.65638448494627,3.1057176112226315,0.0117764339492749,0.15958374938709,0.1908225848647866,0.1910829690811166,0.0343899147430733,0.0,2209153.861442324,2355603.467357377,0.0,4035096.276008208,6811549.469204293,3394898.172987605,333614.2187427935,0.0,2202935.4520001933,627402.3632355271,0.0,0.0,4235.850556533561,4403.521513448271,0.0,0.0,0.0,69479.81501759506,0.0,0.0,0.0,0.0,0.0,0.0,3.891462287878788,0.8340836484878786,0.0014665351050505,0.0383894604313128,0.0465331818181815,0.0467872272727269,0.0
1701121703.9540002,0.0080703760995666,22.78597440457877,2.970319542034917,0.012197228918095,0.1665653896494499,0.1904713570605783,0.1886611893071466,0.0329764514098099,0.0,4223197.733164691,1489030.580998725,0.0,13317433.86546198,6299886.390545038,2788446.851221448,383011.088354233,0.0,4017647.3683035686,102499.17818985546,0.0,0.0,4356.63119804625,4313.920186431491,0.0,0.0,0.0,63366.25760999951,0.0,0.0,0.0,0.0,0.0,0.0,3.902105378787879,0.7664054881242423,0.0030776611,0.0460790933101008,0.0399681325217169,0.0394524958459593,0.0
1701121733.9540002,0.0078917929596166,23.90810328039944,2.96843132781963,0.0105816634329066,0.1725264144494766,0.1903286214110466,0.1876920812167016,0.0366970067716383,0.0,40325641.99086798,2468186.5224435576,0.0,16497379.950199476,1681808.1840541698,2207446.8659607265,450767.110754984,0.0,19803903.704407893,0.0,0.0,62.4684297985472,4193.510390024735,4082.8630054726455,0.0,0.0,0.0,59093.77659198613,0.0,0.0,0.0,0.0,0.0,0.002535334130303,4.213896378787879,0.7858947005757574,0.0061553222,0.0498021567914138,0.0391697121212117,0.03818948665202,0.0009524506272726
