accuracy,failures
0.6857226477141419,81.0
0.6783437783417094,85.0
0.707273102674252,79.0
0.645115461456381,89.0
0.6426765157873203,87.0
0.6851862366411792,84.0
0.6237397280965097,90.0
0.6393668735521609,95.0
0.6539280960674064,89.0
0.7071549152167543,78.0
0.6233766057952265,95.0
0.7370399506836289,75.0
0.6688462303384142,88.0
0.6520588485843659,87.0
0.6768655275248379,85.0
0.6769149949412019,87.0
0.6703604292514638,84.0
0.7208471792915472,76.0
0.6601521773841315,86.0
0.6644834411990734,90.0
0.6954999676015768,79.0
0.6547035168322525,89.0
0.6628096067406413,92.0
0.6513176293863651,90.0
0.746332900101176,67.0
0.7027680829090025,80.0
0.6220388185080139,96.0
0.7100991391750013,76.0
0.6451125431656466,92.0
0.6523114603064029,91.0
