accuracy,failures
0.9358944226734212,44.0
0.9629440394316428,37.0
0.9381499990529645,42.0
0.9360428885326308,46.0
0.9448314345515123,46.0
0.9513425912930045,47.0
0.926354205315022,51.0
0.9644091308140895,36.0
0.9595197254536098,36.0
0.9425042713565805,46.0
0.9633975528603628,36.0
0.9555116096025187,42.0
0.9554135494063545,35.0
0.9410477239176316,40.0
0.9498183594723215,39.0
0.9479466361543173,43.0
0.9541468326520344,35.0
0.9567102787020142,42.0
0.9157998218278238,53.0
0.9040993517906498,45.0
0.9340772520948505,51.0
0.9531281693513098,44.0
0.9395095112957048,48.0
0.938039555777232,43.0
0.9464305682002327,38.0
0.9392474305470903,41.0
0.9575185338077901,41.0
0.9643159430101579,36.0
0.9582531655672152,40.0
0.9506583101552475,39.0
