accuracy,failures
0.9585797541725155,29.0
0.9407988792215021,40.0
0.949898215091656,33.0
0.9739610480553245,25.0
0.9493328239098295,32.0
0.9441787801324518,37.0
0.9515666517227681,32.0
0.9551102647087646,32.0
0.9620605997708266,29.0
0.9405569768121348,39.0
0.9475046320575073,33.0
0.9418612312330747,37.0
0.9602192834126243,25.0
0.9479181959020639,33.0
0.9513647725234157,28.0
0.9450949726343352,42.0
0.9580246156212272,28.0
0.9385332708874683,40.0
0.9480770114682358,31.0
0.9413287190426238,36.0
0.9570024198668924,34.0
0.9390604138098015,37.0
0.9541481550872161,32.0
0.9336339196773946,39.0
0.9338947377467115,42.0
0.9487277114152376,33.0
0.935354750415073,41.0
0.9506380843394098,34.0
0.9455047865917812,34.0
0.9382550692979262,39.0
