accuracy,failures
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
0.9225274725274726,34.0
