accuracy,failures
0.6079619047619047,18.0
0.614224126984127,18.0
0.7363009523809524,12.0
0.524007619047619,21.0
0.6047942857142857,18.0
0.7266946031746032,12.0
0.6144133333333333,17.0
0.48171047619047624,22.0
0.5802615873015873,19.0
0.671888253968254,15.0
0.5471815873015873,21.0
0.49609079365079367,22.0
0.5113085714285714,22.0
0.5722317460317461,19.0
0.6628825396825397,15.0
0.5896584126984126,18.0
0.5627746031746033,20.0
0.6090412698412698,19.0
0.5969415873015873,18.0
0.6421371428571429,16.0
0.6031263492063492,18.0
0.7764215873015873,12.0
0.5583922222222223,20.0
0.6303758730158731,17.0
0.5955955555555555,18.0
0.6889142857142857,15.0
0.5080279365079365,21.0
0.670976507936508,14.0
0.5432336507936507,20.0
0.5492387301587301,20.0
