accuracy,failures
0.6303443473667383,71.0
0.559492648275191,83.0
0.6116654312763371,76.0
0.5236089589394592,91.0
0.6146074665206294,72.0
0.6518465305725267,70.0
0.5012341779496179,91.0
0.6158671185700348,75.0
0.571244543375663,78.0
0.6106024236990082,73.0
0.6186347499898484,74.0
0.5215031945284319,90.0
0.5515451238664462,83.0
0.5641875631642235,83.0
0.632265058500872,72.0
0.5412925600016681,87.0
0.5150299595873351,91.0
0.6181104586747851,77.0
0.5355347992298656,90.0
0.6121419974545911,73.0
0.626787688276303,73.0
0.5852132500642937,76.0
0.5919311675042226,76.0
0.5569710560154584,83.0
0.5383083275990297,86.0
0.5874592616411851,78.0
0.547236093664317,83.0
0.5564405941140986,83.0
0.6259950622432596,72.0
0.6228711734817998,70.0
