Method,Name,Error,Occurrences
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,HTTPError('502 Server Error: Bad Gateway for url: /detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38'),2
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,HTTPError('502 Server Error: Bad Gateway for url: /detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b'),1
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,HTTPError('502 Server Error: Bad Gateway for url: /detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b'),3
