group,value
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
RAG,0.9230769230769231
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
