group,value
RAG,0.9411764705882353
RAG,0.9411764705882353
RAG,0.9411764705882353
RAG,0.9411764705882353
RAG,0.8750000000000001
RAG,0.9411764705882353
RAG,0.9411764705882353
RAG,0.9411764705882353
RAG,0.9411764705882353
RAG,0.9411764705882353
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
