group,value
RAG,0.8888888888888888
RAG,0.5555555555555556
RAG,0.7777777777777778
RAG,0.7777777777777778
RAG,0.7777777777777778
RAG,0.7777777777777778
RAG,0.6666666666666666
RAG,0.7777777777777778
RAG,0.7777777777777778
RAG,0.7777777777777778
SP,0.8
SP,1.0
SP,0.9
SP,1.0
SP,0.9
SP,0.8
SP,0.8
SP,0.9
SP,1.0
SP,0.8
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S5,0.9
S5,0.8
S5,0.9
S5,0.8
S5,0.8
S5,0.8
S5,1.0
S5,1.0
S5,1.0
S5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
