group,value
RAG,0.8888888888888888
RAG,0.6666666666666667
RAG,0.823529411764706
RAG,0.823529411764706
RAG,0.823529411764706
RAG,0.823529411764706
RAG,0.75
RAG,0.823529411764706
RAG,0.823529411764706
RAG,0.823529411764706
SP,0.888888888888889
SP,1.0
SP,0.9473684210526316
SP,1.0
SP,0.9473684210526316
SP,0.888888888888889
SP,0.888888888888889
SP,0.9473684210526316
SP,1.0
SP,0.888888888888889
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S5,0.9473684210526316
S5,0.888888888888889
S5,0.9473684210526316
S5,0.888888888888889
S5,0.888888888888889
S5,0.888888888888889
S5,1.0
S5,1.0
S5,1.0
S5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
