group,value
RAG,0.8888888888888888
RAG,0.8888888888888888
RAG,0.8888888888888888
RAG,0.8888888888888888
RAG,0.7777777777777778
RAG,0.8888888888888888
RAG,0.8888888888888888
RAG,0.8888888888888888
RAG,0.8888888888888888
RAG,0.8888888888888888
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
SP,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
S5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
SP5,1.0
