time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy
1701132748.6380002,19.82799694459413,0.0893680210388991,0.0283074197560058,45.85227058723854,415.1695636237989,0.1582608078571574,0.1632589452789724,0.0345573484778891,198.0995944526658,48182088.23214208,11638741.394961609,4814182.816186474,21944003.567348167,8096736.171096761,8406497.98758828,325847.4008679795,198.0995944526658,8750226.840641769,0.0,0.0,1500140.8849574446,595.3180659653316,2108909.9090837347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4468888718192114,0.0281096671609615,0.0032767831249999,1.9106216709855544,15.596535442840894,0.0476042648963612,0.0438708132167096,0.0058891032668632
1701132808.6380002,40.35727434379417,0.0720203478375874,0.0272104758774274,83.68348210886607,786.8178901584628,0.1275959934181408,0.1359440782719424,0.0295141577800741,74.61133209673987,24797953.24512295,3796749.795396608,10613447.684653908,34150228.682337455,3855457.6052874434,5020688.289761619,326384.7056715453,74.61133209673987,4702822.321401013,0.0,898681.0847734291,4954439.432648817,2084.576428581878,614661.1206344225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159839204123255,0.0049326200885857,0.0002160867787878,3.0070056368836373,29.419036912357477,0.0059738112442222,0.0077319050557847,0.0004154906051882
1701132868.6380002,40.255653220029245,0.0717727500925991,0.0312334578617633,83.35288871072099,772.4643631347635,0.1408063359688533,0.1368211342485541,0.0331649235987274,113316.457395715,33149288.146273416,3149457.235564618,10605240.189283004,46399355.74384721,5835322.055812951,4325445.192474406,232667.59140148075,12.438976620238762,3364588.783322222,0.0,1968081.5580844127,9626367.503747769,2341.985716243034,1609.8498620678847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.464152992424242,0.0047349091507573,0.0009723905045452,2.528695303030303,28.27417151515151,0.0062575926242421,0.0080017289106059,0.002224365938636
1701132928.6380002,40.457841829893496,0.0744635932754891,0.0319313914620558,82.80215401001766,786.7455188032594,0.1331899598982033,0.1297285958319724,0.0313392274444991,1128647.3699741631,18524480.79496828,2373926.537331698,9992671.782190854,53633621.7033206,8327115.355544631,1432100.4176752744,230182.19826522865,192.6497161670277,166.21781415811213,0.0,24.79504902733287,494808.9648322983,1245138.8850921397,1646.3041765143296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5234031439393938,0.0053493378227269,0.0,3.184180083333333,26.017540674242422,0.0076441757363634,0.00778513487803,0.0001025756363636
1701132988.6380002,40.26183548565968,0.0716500225859725,0.0273196842950874,82.8433001148363,780.258337179362,0.1337529847351233,0.1325674833612333,0.0354888893958441,0.0,11839145.493084555,2682497.2900937423,10731723.676488258,44139873.30629926,8947611.738058634,3828598.48920482,328875.00353372365,0.0,319.16753550569945,0.0,0.0,7952088.016673841,869806.3653203915,2000.7256374007416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499460174242424,0.0048993990303028,0.0016522930666666,3.2926741818181817,27.117974030303028,0.0079923810856057,0.0062282246234846,0.0
1701133021.138,41.70547843578663,0.06714424377201,0.0299020496422999,81.76909955211653,788.8621761387677,0.13637828990825,0.13004582532799,0.04191366805362,0.0,18666132.85706476,0.0,10084400.47337278,35005855.08419988,6704513.174311927,4764314.0656163655,404562.8478964401,0.0,447.8868619124857,0.0,0.0,12194825.14033312,751.559633027523,1498.9661671332638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4050452727272724,0.005140727272727,0.0024784396,3.7847241818181816,26.293846272727272,0.008897552181818,0.0078422727272725,0.0
1701250936.7099998,21.21198780874362,0.0962085409733691,0.3466870843873184,47.13012493942804,441.3660005070421,0.1517593393187641,0.1581721435220941,0.0361330710614441,0.0,36195331.85005953,21378760.68563262,4683005.468642558,21060625.895957846,10499040.795070391,2573968.1603251747,33078.83273877374,0.0,12378405.505935809,0.0,0.0,0.0,170525.26632264294,3214.9277650846766,0.0,0.0,0.0,1220972.3777537527,0.0,0.0,0.0,0.0,0.0,0.7092847371888887,0.0387537531507572,0.0948589094585855,1.5208452253611109,16.54187701573384,0.0270785910881309,0.0338906561835855,0.0072068498161612
1701250996.7099998,39.937278777682906,0.0819994540073766,0.0961064966061233,83.12701629623736,771.6853174926501,0.1309168849291658,0.1378619299425849,0.0346881049668933,0.0,45114256.90500192,19874983.302037,8245572.441225772,33912546.28717039,3438067.15303177,2597185.08936647,496904.1723376387,0.0,300.5262912414395,0.0,529699.7000638522,0.0,868450.6913999333,2019.317630592306,0.0,0.0,0.0,2210258.1224016338,0.0,0.0,0.0,0.0,0.0,1.5180215075757573,0.0051371494661613,0.0032546447446966,3.581316,30.33294738636364,0.0070851133808078,0.0067078556128785,0.0
1701251056.7099998,40.3818651775686,0.0841515132339241,0.0868336497160541,84.05296584759395,775.6913580879395,0.1331314048928233,0.1358577860463141,0.0339552778556766,0.0,38448236.48050502,14131621.595874466,12847658.647179453,42302421.60169879,3830496.586563874,2863162.3003862654,197220.23519194557,0.0,3900125.617430616,18458.40446729547,5510690.617897515,508307.4920921827,1052620.114733989,1925.8924467706156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2919693484848482,0.00537750372803,0.0007293880734847,2.853405848484849,27.80473124242424,0.0066375853075755,0.007106915163131,0.0005042007373735
1701251116.7099998,43.21654337416998,0.0732583121713266,0.1779551992006791,81.78359091321002,811.4841868115597,0.165893700848825,0.1218165360491066,0.0457598511403166,0.0,25747109.68202375,11369900.516170956,10362465.130946277,49184527.01013053,7131658.908395163,1986914.7060432087,280014.8494996098,0.0,5894865.286744385,48399.2805551255,1168574.6118297686,5109282.912599185,10157.092621094524,703262.1834691344,21847.164499611143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4355599015151512,0.0048083413313128,0.0017724836323231,3.09344853030303,29.12535492424242,0.0087585679595957,0.0075098262651513,0.0006050408848482
