time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,shipping_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701266656.756,0.017354421724434625,0.017026783669749634,0.02543221275871474,0.004154482397558122,0.03137614283620988,0.0023645395888526313,0.005899692345678999,0.0024783826641911837,0.0018696642857142607,0.10197227866169833,0.0021499997788385693,0.015777687246782253,0.015132218279900859,22768793.901912842,10461971.511510162,1204217.8649237475,22050.430117472944,6520108.143752062,21944680.201005023,3451319.940740741,854839.8456683812,119570234.20523137,12033862.423848113,26221375.255717944,2329378.796027392,3395083.5594513854,10456.493599884941,1659.0832376966182,0,1060.8454352048839,3062209.033959776,0,638531.0024691358,959.9134485349362,68.6787391012743,6099140.316634137,0,15052.88444301029,573.5907348287524,0,3179.909538918518,0,0,0,0,242.72592592592594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702487166578788,0.05602583636363636,0.05859654545454545,0.025996436363636362,0.14885544802818182,0.015109581818181818,0.03357527272727273,0.029354945894545452,0.013456563636363635,0.5778651454545454,0.012747090909090908,0.06973345454545454,0.05351539999999999
1701266661.756,0.03221890880717783,0.018337056071276687,0.02749097366233877,0.017282271224602932,0.0874421430337883,0.002995196134363211,0.005833460417158309,0.0024490286622197844,0.0018494689377412772,0.09601974092671323,0.0021865614341297214,0.026520854488948045,0.015969389318899754,28813879.72848518,10520655.070004243,1301962.580573666,8525178.320616145,6648790.063303988,22012358.0375592,3171765.970192604,844715.1095339921,119670630.37422384,9358592.658050057,25864852.623540964,2655455.808918532,3582912.308573329,11037.418562608726,2015.850657615613,0,4342590.018048284,3185828.1748888027,4419.039259787518,586810.5360611395,948.5442190500041,68.73636516193991,5928695.944844658,0,14660.753570555575,605.3239244084016,0,3336.580398812049,0,0,0,28911.00261488105,223.06533301867952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10796518181818181,0.0681968909090909,0.09536011858636363,0.04809558549636364,0.1595514730936364,0.01550710909090909,0.030577181818181816,0.0241006,0.013854090909090908,0.5995598545454545,0.01314461818181818,0.09627529610000002,0.058755381818181816
1701266666.756,0.033195027419513384,0.019252403052407673,0.05221165293523406,0.027754179882021144,0.12840418177836976,0.30581312901519314,0.005754880131004353,0.0028441251274395674,0.0018376784933665546,0.09555890429244181,0.002108507636983772,0.02665661607753221,0.016443437543304563,29961038.77033789,8462170.738362469,1008712.9868672129,8636701.795020266,6600551.940587195,35706319.46445835,3178424.4541484714,863226.3326536558,120828425.82897033,10342132.872581901,26370106.91777267,2312297.499624122,3713959.6480056294,11477.738723037426,2160.7698324632092,0,4397878.401852923,3159278.141707571,17675641.245462667,588166.5211062591,969.4145062627441,69.40137921686237,6988053.257444862,0,14876.847359725858,627.5965777543204,0,3576.44661924945,0,0,0,3327841.7824149234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10700666350939395,0.066779,0.14598014545454543,0.08153854545454546,0.26811718411757574,0.014265018181818181,0.02863532727272727,0.02345349889,0.01399200378090909,0.5286678909090908,0.01191170909090909,0.0962327429230303,0.05855634545454545
1701266671.756,0.03786874772914306,0.020413779118524628,0.07186413218493941,0.03978531175352416,0.1739034984640948,0.7254950181433882,0.005596658708883388,0.002855217546113602,0.0018315164432725869,0.09154181800737014,0.0020400201291109338,0.031689584171800546,0.017034297401312175,38604659.636297174,8518326.991741892,1424131.1083198758,17083953.086331192,9896359.943623288,46376430.16570848,2945158.8690506294,865583.9955951179,130578787.9586904,10369897.600489073,30131996.814585127,2106338.000424866,3553805.0800865013,13025.751622041487,2175.01327522751,0,4358601.771815932,6237181.742618626,16385523.706459248,545000.7924063865,751.7665412498853,75.00183109939208,5259618.183979486,0,16215.986558776385,600.5204706227322,0,3900.0238038562247,0,0,0,16186538.719765529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11605223962727275,0.06565914545454545,0.18776845810272727,0.11069544093363635,0.27690346279090905,1.815247427832727,0.02752021818181818,0.019471745454545452,0.012504745454545454,0.522247,0.011795272727272725,0.09836968227636363,0.054804963636363634
1701266676.756,0.041671370618183795,0.02265495596986614,0.08102172361019805,0.055440693430411914,0.23668095228100436,0.7890607875682939,0.0054507973060088965,0.002759796950182699,0.001774674880451084,0.09103298012598551,0.0020954810709974724,0.03303517995963391,0.01800387696680867,30738022.4,11664948.371100383,1309529.1109650084,23955704.200778417,10881439.569143038,50453488.34642483,2962939.6396702067,1061676.2056365544,152687966.8831632,11247553.23067855,26020364.75364863,1666918.7176944567,3241391.0542596774,14149.818181818182,2388.179737574871,0,8153519.259159843,6868083.003326469,17826012.61934107,548463.4750449564,740.9283311023479,73.0854328741703,5703030.428055698,0,15947.280993436794,547.9140540088622,0,4699.32141909894,0,0,0,17673271.274136487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11503232727272727,0.06366912727272726,0.22895961792,0.13863576290727272,0.3911594649445454,1.0908376871489394,0.02423721818181818,0.019447854247272727,0.010165781818181818,0.48366690909090904,0.01233150909090909,0.09337767272727272,0.051112145454545455
1701266681.756,0.04592361117881397,0.02496441806841145,0.09809652858610689,0.06352312476519194,0.2720325306008789,1.257337197324371,0.005099360986888941,0.0023197187150791297,0.0017784188266405875,0.08656960470201308,0.0020666326848709743,0.03612345263301457,0.019110419425515585,30752221.75739828,11281336.364132313,1317059.9244064437,27538210.177566595,15554128.545635559,102489847.7392348,2692320.721988395,784878.2293977352,129164480.28401168,11039614.875853844,35087132.50730014,2261078.0272421967,2880669.030952337,14155.222903290349,2309.032387117892,0,9372854.38005554,11667272.463425748,24833012.010115087,158.0185891529754,683.1562619877581,74.19080222427503,5598414.398785645,0,14314.597930411363,608.4260170451381,0,5288.429015657108,0,0,0,30981592.782533403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11477858370363635,0.0594858,0.22544496363636363,0.14157327885575755,0.40270672204121216,1.861184929500909,0.020687290909090907,0.01318901818181818,0.008390818181818182,0.36613883636363637,0.010066381818181817,0.09292105454545453,0.043832054545454545
1701266686.756,0.05688308005285677,0.02735816089631444,0.11416381276627159,0.0742378542309954,0.284098031893677,1.3400583927940992,0.005346711656553175,0.002479906852109405,0.0017532422639566553,0.08366011337823441,0.0019752383305140188,0.039095974762763025,0.02071465399123441,33369911.012937836,13993071.679867214,1648945.7590232564,34979665.34333186,13184490.647061512,106760253.15420778,2535796.2283347263,870243.3379694022,113016103.64911444,11033927.736949496,35740784.83259919,2270207.4079112955,3480260.957034057,15348.690438624173,2660.364082486875,0,8933086.310836641,9348918.412212605,26466795.25057138,148.83180117001564,759.5734816875291,0,5598431.230927574,0,14279.786401823068,588.590314700388,0,5911.920183304166,0,0,0,33856297.20678596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11644279201181817,0.05634218181818182,0.2578918097609091,0.1697121403772727,0.5048138991081819,1.7476391545999999,0.0200182,0.011782672727272727,0.008175857797272727,0.2930298363636364,0.008660036363636364,0.09871093944090908,0.03633092727272727
1701266691.756,0.05699229346771754,0.03211469561212787,0.13755699273149882,0.08558187356488878,0.37521581253703895,1.6951184752089727,0.005176221930243654,0.002395172190915145,0.0017418521786198029,0.08017183621474062,0.0018597242912446646,0.040204783815658784,0.02209706355578154,30402177.71549711,8588350.587628486,1081143.262355467,34575216.392966144,14789070.133154213,137891745.81221256,2564873.6815024437,635457.7894604182,102931131.29454216,13338722.766151045,36073300.89767214,2343749.047352196,2818036.691248592,13981.531385864686,3395.350550786575,0,13243023.97907281,10474343.83025801,64033051.66336567,75.26921239295821,737.4466629458259,0,7520166.551410372,0,14743.273948485692,595.1974425109892,0,7243.414508344693,0,0,0,53627506.08066064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12989881818181817,0.051688181818181814,0.2952502631869697,0.19910605110515153,0.5069984813563636,2.4577324130104845,0.02023701818181818,0.011934800068181817,0.006727727272727272,0.28481094545454544,0.008893454545454545,0.10073316283454545,0.03564263636363636
1701266696.756,0.06358162682736247,0.030452516821051677,0.146688881187748,0.09684907660011376,0.3840416175488939,1.8505285530164228,0.004835824985455156,0.0023081122114513193,0.0017292602855346875,0.07791421492371012,0.001845219093394955,0.04520904671601208,0.0250022715879455,35962891.14027334,8143838.381456685,1360041.9381412417,43607985.186000034,13451828.45863987,143217531.74021405,2445509.3365931846,815829.276797545,102450606.94980693,13168474.740758047,30201208.58030877,2419226.9706629207,2810362.213851058,13229.074590331134,3219.6154374307125,294170.89792555984,13365637.827035548,9539865.494347747,69912057.46957923,71.83378382661216,179533.8587070228,0,9274024.765019858,0,15122.01271453527,593.4511735728775,0,6868.51293318552,0,0,0,58539413.20635293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12797743636363634,0.05530258181818182,0.29556870909090904,0.22506047127454545,0.6128321645990911,2.4017110070818184,0.016455690909090905,0.007060127272727272,0.004837072727272727,0.21065945454545454,0.007253854545454545,0.10339401818181818,0.034652672727272724
1701266701.756,0.07148810008944588,0.037057666967544776,0.16336688652034143,0.10560656191277287,0.4379040569449656,2.2347669961460794,0.00489830931242612,0.002219963065281854,0.0017123734690169307,0.07413671052488048,0.001889882744702308,0.047833381696792035,0.026210202381607598,32550291.698525228,6243577.807197015,1385766.826580447,42569459.63455447,15983190.419325124,147444285.2391555,2477108.082506825,610941.8379358567,129586781.31928039,11109980.182899116,26100323.713420786,2433039.859595795,2842872.4610557607,14954.903367017034,3697.1958117703693,299111.04809602717,17394347.155359093,12023798.287215533,74995262.67317438,72.76195754044252,179722.4175720505,0,7515824.518662619,0,15192.603448587817,601.2366745564302,0,8791.110041320655,0,0,0,58240578.288921304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13862605159515148,0.06005030909090909,0.29073670157272724,0.2268840330133333,0.6304951443436363,2.3543143951296535,0.012644145454545454,0.005528418181818181,0.004706290909090909,0.19509858181818182,0.0052273090909090904,0.10175100696,0.03219445454545455
