Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/createlayer,19353,0,12,34.396307659570034,3.227067179977894,658.7147582322359,38.0,62.35276070779117,0.0,12,22,36,46,76,120,200,410,640,660,660
GET,/createproject,19236,0,24,54.74407306096109,8.453660644590855,358.1686457619071,102.0,61.975802458278864,0.0,24,41,69,93,150,190,220,250,300,350,360
POST,/survey,112863,0,8,14.751119225655884,1.8054535612463951,277.3567736148834,99.0,363.62939243339196,0.0,8,11,15,18,30,51,89,120,190,230,280
,Aggregated,151452,0,10,22.340968100134077,1.8054535612463951,658.7147582322359,91.58626495523335,487.95795559946197,0.0,10,16,21,25,50,91,150,190,430,650,660
