Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/calculate,7318,0,25,69.41596077715387,8.865119889378548,470.0309382751584,18.0,23.66463340957806,0.0,25,61,97,120,190,250,300,320,440,470,470
GET,/transform,7358,0,89,99.25117995222911,60.058475472033024,270.5393387004733,36.0,23.793983687848502,0.0,89,98,110,120,140,160,180,200,250,270,270
,Aggregated,14676,0,81,84.37422888087447,8.865119889378548,470.0309382751584,27.024529844644317,47.45861709742656,0.0,81,93,110,120,160,200,260,300,410,470,470
