time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,payment_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701283540.27,0.3079957199631846,0.029153864848499533,0.011157700684304363,0.006658268523758237,0.0765472273179641,0.018404471946235613,0.0060044359419231105,0.0023463377209368788,0.041681882343345,0.09557408598732,0.005177381025500426,0.01761318471207683,0.011241323287921738,37933596.98113208,2709038.066311405,555077.808140371,143110.64055055587,2657212.383632821,23078584.83334847,3331333.5403159526,333898.5454808597,132940290.96050318,8891184.118593002,35821824.25738049,731065.1488746338,3150815.324129103,14951738.315692592,22348.72596984522,15242.916726592837,109837.79047479967,1395926.968319261,7602021.251475798,299.2238151766962,222.30262681814892,26455873.117149122,11220712.667048667,7075623.800383877,19896.0287737773,26140.696717564235,0,3426.8046487096008,0,0,100842.90221548676,22295.08611146429,448.83572276504424,0,0,75.71024565165153,0,0,74.90170979244766,0,0,0,0,0,0,0,0,0.8712677149733336,0.08657527015,0.037176,0.026745872727272725,0.11404163599999999,0.07319329090909091,0.043072545454545454,0.023143157076666667,0.29314205243666663,0.7371702363636363,0.022679054545454543,0.06940557782000001,0.05881614545454546
1701283545.27,0.7815612856986159,0.09641681170758452,0.026217513586993063,0.022136800570856655,0.15044710633559083,0.06904479992329327,0.0057351058483313564,0.002208570420724831,0.04239930077444699,0.09228381947694936,0.0052614092458649715,0.031140825512983483,0.01515827935385064,30341295.405934077,2825547.951556965,397984.8290954951,701468.6584868592,2849365.0295999856,39078969.938269354,2623767.7910694396,177933.59487130417,135881426.7610331,11154254.467105018,28276887.93492181,498928.0552024695,3146753.7922987165,15081316.10025411,70724.16031454588,17548.099927669282,686968.6028839381,1545697.4346679454,9873593.746575594,220.7134389481625,156.7696871112812,27041689.702449325,13145422.638285225,6981840.0101008285,21048.992191755944,32186.697782963827,0,7368.682653610043,0,0,101558.72094621594,5866863.366280697,514.9980242123792,0,0,76.08009212823656,0,0,74.67911318553092,0,0,0,0,0,0,0,0,1.4895286357433333,0.16981418425333333,0.04856829090909091,0.03398288544,0.13626449328333332,0.0628556,0.03964901818181818,0.01869709090909091,0.2935135615133333,0.7437190727272727,0.021345854545454547,0.08586036270333333,0.06303043636363637
1701283550.27,1.1860946653958369,0.1955478426863016,0.04678131829041748,0.037258402428352655,0.23446321053133995,0.42320216876519867,0.005636168858967088,0.0026777656514673817,0.041170270396646225,0.08713823415634844,0.004250264611549924,0.03927616332315745,0.018333687934590184,29926335.391719915,2775265.969802555,633730.6527982613,9232129.512141764,2861779.4616724425,44714168.63910654,2669919.686796802,176020.30281928487,131392456.34024866,8805694.77617408,35900787.273427054,513711.8767262684,3148492.1066559595,14973798.278114876,76339.1405342625,19791.663432430334,677140.8152847664,1574824.5138352695,20158901.34197964,224.80379063683432,1309.5602397933667,26148415.493210074,11118003.663272036,7094038.08441618,27985.46300334351,32219.006077418646,0,12636.469221835076,0,0,100413.4634129991,8879454.634766579,524.5421781526134,0,0,75.02381126822479,0,0,74.7540744255653,0,0,0,0,0,0,0,0,1.9239930614300003,0.18960382993666666,0.07104762011666665,0.05505563548333333,0.14121983603333332,0.20652530397999996,0.033995763636363634,0.018376375523333332,0.2862876717433333,0.6488230545454545,0.019279927272727274,0.08319381845666667,0.057291836363636356
1701283555.27,1.438207428276147,0.28874284774228676,0.05823897996611651,0.04901624395068966,0.3089330707368548,0.7804531273700729,0.005453004657484597,0.004288520761213588,0.04244918242629758,0.08143440769733734,0.0043032510842483905,0.05835140319757055,0.025979543454973934,37810312.41799522,2066113.5935779486,581395.7898460993,17857848.735185828,2872764.1933214264,58092418.9421213,1984013.9180862631,173850.71163085848,108717693.10875164,10908953.321951397,28917676.847836122,754006.4308681672,2473965.864457616,22681092.941747397,761862.1106098816,18911.303732531396,5012016.046013225,1601645.288737349,27308330.32400997,222.6893802102211,5346.967636660321,27045273.148405507,12855851.502052382,7143526.806311711,30145.623436941765,32395.343854888233,0,18550.06571235747,0,0,101160.79207663583,14376843.354933998,519.6085538238492,0,0,74.39427512804679,0,0,73.12718703135042,0,0,0,0,0,0,0,0,2.2864908446300003,0.33166691605666665,0.09567311758666666,0.07389016363636364,0.14441881388666666,0.4785301889066667,0.03183023636363636,0.017808854545454545,0.28275666281333334,0.6240842909090909,0.01635250909090909,0.10000652984666666,0.060503854545454545
1701283560.27,1.5726766928377123,0.36320667833024345,0.07210351515153882,0.059114461181411296,0.3874757736454179,1.1218636437617993,0.005172902256050817,0.005209368973251108,0.04047495910482839,0.07607142856372846,0.004136270296689139,0.08135983325700259,0.03387954989372816,45347534.68394302,2098634.1323381653,583765.0266451852,17957562.321563426,1860576.0696156635,52172855.36758371,2662257.949111087,177869.60110937437,104452812.98960263,10790985.51870351,35449310.718100026,777674.9775587594,1885688.6775460213,30174023.051041596,773474.9533515142,19724.73133509197,5040273.194452119,654795.6490210297,28266972.048607923,224.29087723140947,5838.004810495237,25985330.86454921,12717116.676847892,7006715.78299513,32490.666275853222,32904.931733852085,0,23957.513994545712,0,0,100460.24647812425,15271897.82577149,523.3453802066222,0,0,73.59229580653275,0,0,73.77787384271768,0,0,0,0,0,0,0,0,2.6014384537966664,0.3241062394366667,0.09610623636363635,0.07118806706666667,0.15114930307,0.6277302375216666,0.025472727272727272,0.016870181818181815,0.2825035003033333,0.5102680363636363,0.015139727272727272,0.10586209090909089,0.05412814545454545
1701283565.27,1.9275061598687808,0.43685729584853433,0.09107460265953006,0.07324336800072438,0.4584466442944856,1.454177317447525,0.004802690948622378,0.0064403518509033135,0.040892252035904256,0.07108987879339203,0.004308272459394744,0.09784388048055712,0.03948117503604903,46216869.254601784,1438288.9569124465,653020.268611043,17655451.213328503,3696667.282910119,70466834.38953808,1998906.6725133376,177001.16045607766,79624200.07962647,13107438.46881595,41689333.02565013,1019276.9766466737,1883067.3395818311,30768148.715144888,1467324.5618745862,21741.55159712122,4955551.756609923,2262662.6792090335,45347381.80885747,224.51216838412626,5809.501003886608,26413188.461399253,12877167.01841205,13720636.620218338,25388.58403369004,32927.469358327326,0,28668.993788375134,0,0,100342.78320192848,16239094.426062003,523.861726229628,0,0,74.52150498508114,0,0,73.8284066330209,0,0,0,0,0,0,0,0,2.796935154643333,0.4611085453533333,0.11510763026,0.09146367505333333,0.2646061231533333,1.2265893672644443,0.025428727272727273,0.018149832609999996,0.27440433686666665,0.40343243636363635,0.013129072727272727,0.12766388065333337,0.06562285454545454
1701283570.27,2.07694548444205,0.5153228179037365,0.10304400922009634,0.08383084013599326,0.5184954352301233,1.679825069284023,0.004715283796510017,0.007494531739677375,0.040946592778080194,0.06597809925883386,0.004078041461293155,0.11010037836705708,0.04551638273130572,47463639.31563597,803244.4364292155,637361.5206416635,17537991.689302225,2666497.4193430725,76102028.55298086,2017632.6470316683,176546.53639903033,53220277.11849029,10781485.275380004,42558868.077703685,788659.223778389,1943383.8082052027,31688054.838290203,1484827.7006311992,21501.169429203812,4922848.0869205445,2287532.819025734,44566002.15223474,226.9042563013572,5867.33269668699,26484122.083106514,10894244.172065394,14006814.728906931,26407.998980093616,654634.7008671572,0,34127.17763751127,0,0,101658.70325910526,23145493.130391944,529.4432647031668,0,0,73.50645155501319,0,0,74.61925235006922,0,0,0,0,0,0,0,0,3.177500375963333,0.4776097655433334,0.11648677394333334,0.09310641525333334,0.27703003110999996,1.3571806162708333,0.01988552727272727,0.01923770909090909,0.2699597172966666,0.3024944363636363,0.012188745454545454,0.13020884849666667,0.058453418181818186
1701283575.27,2.2417843671951347,0.5925626224739059,0.11320389409498961,0.09358180992401353,0.5894783988646851,1.9830865278323155,0.004321894396351975,0.00831166011486831,0.040353213779757584,0.06054210226123394,0.0035002865166490096,0.13023255286735372,0.05247449639318787,46470111.123176605,1617776.7414747889,646105.2474434576,26430093.417559277,4526173.857474118,97672116.3467132,2026247.0943704005,171747.18714952425,53544716.22608441,13013203.872272795,49941203.39910281,809409.7993884704,1981793.7454545454,38450464.25598147,2210135.820460507,22242.591624990673,9341189.929506546,3900955.9422300933,62131825.47993019,227.77911654030805,5853.333815708548,26645461.07784431,12784390.694986276,14095115.941500418,21382.65344171825,1272068.6545454545,0,40664.52929175168,0,0,101000.20115515469,26331524.14008144,531.4846052607188,0,0,73.97774888021964,0,0,74.47272727272727,0,0,0,0,0,0,0,0,3.4284548281999996,0.6280055008233334,0.11363881047666667,0.09268605495333332,0.28990112943666674,1.3984545823213332,0.0155982,0.013718272727272727,0.26871285454545457,0.2580522909090909,0.0071247636363636355,0.13475920385,0.06008581818181818
1701283580.27,2.3760595728204934,0.6629921859990712,0.12383848441359144,0.10473099396032626,0.6592276202134931,2.2896702593424765,0.004133621434776983,0.009602222344194226,0.03960589176656661,0.05479540054559487,0.003094828188829281,0.15088750416209723,0.05903869186036172,46850270.116410606,949771.4048662591,642403.2135336483,26109713.16974377,4628486.851153195,104032127.11879641,2017979.7778147473,6395.59826756139,52714126.422113985,10779098.260916384,42988753.92478338,1074370.5319914725,1938190.1086589247,38767459.913148195,2191211.8752592755,21309.550353028615,9225980.579013038,4006630.512758563,71476830.80186221,227.1391338102368,6319.460192947563,26232171.246787325,10891571.20551338,14159408.818626462,22425.47986538487,1246041.791894151,0,45360.89316956153,0,0,102138.52827575098,27294281.70696769,529.9913122238859,0,0,73.51172849476839,0,0,145.68476463160889,0,0,0,0,0,0,0,0,3.676889601516666,0.6261736631133333,0.11345132187666666,0.09269927092333333,0.29054071732,1.818178473266111,0.011017054545454544,0.01159589090909091,0.2550653848033333,0.14621814545454545,0.005969418181818182,0.17083325337,0.06866685454545454
1701283585.27,2.4587719646822115,0.7378593579757512,0.1382552026394146,0.11663815662363389,0.725613317460387,2.6076857324275595,0.0039600955048111446,0.010887736611846237,0.02678510904539264,0.04983061092524544,0.003182042093411753,0.1625582318795356,0.06482055934008493,38733858.6569899,957843.8955437561,857598.1617119057,35073633.682975136,4528905.146992311,107503198.7288211,1959468.0453827372,6466.61648890276,53976859.69885506,10979427.63121812,35497179.051354684,1336816.2056067844,1369947.2097908484,38171547.15625337,2910126.3115927586,22059.457130547176,9356834.739235679,3901259.375848032,77699389.04857972,220.59457130547176,6391.423273915518,26858785.259360157,9249865.628256459,14036245.514636448,22904.714291004704,1279864.3894419582,0,49955.74563708523,0,0,100672.74032745365,29507706.942402977,73.53152376849059,0,0,74.8825389860875,0,0,74.81961822997533,0,0,0,0,0,0,0,0,3.898350920976667,0.6243665838799999,0.13918496419999998,0.11217928117666666,0.43397533477666667,2.3643426139033332,0.0077826909090909085,0.013948028873333332,0.03010938181818182,0.09020343636363636,0.004632036363636363,0.19835937473333334,0.07770694545454546
