accuracy,failures
0.9008161386414223,39
0.8742074195017098,50
0.908811031736195,36
0.8836612482525559,46
0.8946395694563466,42
0.8905549865825355,43
0.9219937327303737,31
0.893455148872886,42
0.9136438953308772,34
0.9083145369297945,36
0.9030943921881618,38
0.8726070188190369,50
0.8737230300321925,50
0.8895048173601918,44
0.8631525715580826,54
0.8969755554618652,41
0.9249269487993409,30
0.8736170036920957,50
0.8857692576258087,45
0.8694783321497438,52
0.9106194293930261,35
0.8947368590009269,42
0.8889777009175646,44
0.8944079189284715,42
0.8774546092461573,49
0.9075001897437559,36
0.9040950359554708,38
0.9050922017006249,37
0.8497085241913404,60
0.9104295952720401,35
