accuracy,failures
0.8646947500549947,108
0.8262097307724556,139
0.8638777483107732,108
0.8710561429382955,103
0.8561323810773935,115
0.8482485459626509,121
0.8291488939935857,136
0.87359668229261,101
0.883469848297438,93
0.8680228110807697,105
0.8846999907579874,92
0.8690200776136493,104
0.8557728670837876,115
0.8180160011673433,145
0.8557073481790515,115
0.8274758055529315,138
0.8466622171063457,122
0.8843100983219429,92
0.8735508784560346,101
0.8819752363211145,94
0.8763367545744188,98
0.8426214049055812,125
0.8920238095225325,86
0.8763771800066116,98
0.8725620213572289,101
0.8814444350735801,94
0.8505090471415485,119
0.8792892297316084,96
0.8376730005136224,129
0.8615431454685016,110
