accuracy,failures
0.9033432960544394,77
0.9056145749012399,75
0.8890759130923277,88
0.891144912046979,87
0.8868548154466375,90
0.8723248126750207,102
0.8562595600538014,114
0.8637126485025756,109
0.8556997831234162,115
0.913796834772659,68
0.8598730822866287,112
0.8755646177693827,99
0.8779100404634742,97
0.8874492135107149,90
0.8410393445660962,127
0.8626673531555918,109
0.8762239632463718,99
0.8871310382366114,90
0.8760641963169566,99
0.8980056707507363,81
0.8884560270657539,89
0.8926538558010475,85
0.8814421683486517,94
0.8786267404857946,97
0.8531632340890307,117
0.8630393543235201,109
0.867046517754228,106
0.8768892402679774,98
0.8835279979238174,93
0.8811898195494036,95
