accuracy,failures
0.9063115836545244,9
0.8910337235434066,10
0.9548700471630479,4
0.8769683335956813,12
0.8682610400732673,13
0.830518164338489,16
0.9221938549231811,7
0.904499296640944,9
0.9602479213584276,3
0.9324133120082573,6
0.9314813712965834,6
0.9190659096110911,8
0.9523097523016654,4
0.9314631872027122,6
0.9005976039002134,9
0.909675896062543,9
0.9486231415284493,5
0.9085375924496066,9
0.8351336910579439,16
0.921927823360339,7
0.8840751591244436,11
0.9514241251542852,4
0.8664132685564799,13
0.9288852374196364,7
0.9244156869121818,7
0.8570458513059076,14
0.8538644994994795,14
0.89445772841128,10
0.9005491069598378,9
0.9290683205966768,7
