accuracy,failures
0.9010816742759724,4
0.918037315537825,4
1.0,0
0.8841666476003802,5
0.9080519395370904,4
0.8495233513736278,7
0.9196325572058912,4
0.9470359789938246,2
0.9267516123897133,3
0.8361374453873169,8
0.8691135687000271,6
0.9803606370848502,0
0.8849307103906192,5
0.8540229516611031,7
0.9615382110358662,1
0.8759029993744158,6
0.898068603404765,5
0.9157713485551685,4
0.9806821068799668,0
0.8779574409224348,6
0.8687979213209772,6
0.8478676721554322,7
0.8955575345135236,5
0.7951561512618471,10
0.8958019317489027,5
0.8830266734488867,5
0.9281490343408376,3
0.8807845862086561,5
0.9283022172896298,3
0.8447371872562174,7
