accuracy,failures
0.9012031018047625,9
0.9123313036409533,8
0.9315923221630737,6
0.922422459631639,7
0.9291148090581501,7
0.8946249330893515,10
0.9106656746994375,8
0.8870203486111409,11
0.951590585766756,4
0.9292267537938482,7
0.9086015858435762,9
0.8747004875291531,12
0.9447868367638067,5
0.9030537367765386,9
0.8870688402986862,11
0.9543915380981471,4
0.9326648930940462,6
0.9237063373254152,7
0.8956308773225264,10
0.8477031558276164,15
0.9321455020521607,6
0.9063282893238902,9
0.9170845638169082,8
0.8900485055970252,10
0.9578483476478766,4
0.870523376006372,12
0.917246234705006,8
0.9448005571474579,5
0.9133189406874237,8
0.9373872857070612,6
