accuracy,failures
0.9145064650469452,17
0.90501809234767,18
0.8640736867335105,27
0.8282120849091196,34
0.8267636565856127,34
0.8101470295245957,37
0.9082219510874033,18
0.8274081213814948,34
0.8833359819304692,23
0.828521001218117,34
0.8867080165430032,22
0.8622612803879709,27
0.898186106549108,20
0.8967836783659388,20
0.9147400151248312,17
0.8503046647887765,29
0.8429961703986238,31
0.8887053582488562,22
0.8964576972549403,20
0.8273406559675565,34
0.8731222252727682,25
0.8666186252256582,26
0.874722426470482,25
0.8981754282956057,20
0.863091897774251,27
0.8517570246088462,29
0.8516999884432207,29
0.9100052673084358,17
0.8618971118754066,27
0.8894282888746317,22
