accuracy,failures
0.7844096329881252,10
0.979262989261226,1
0.8189058705139213,9
0.9405940805750146,2
0.9017766519237136,4
0.8884806247618093,5
0.9612529751661103,1
0.9087699813713489,4
0.9301107238448043,3
0.8193507048621269,9
0.826755269472715,8
0.8986321885596845,5
0.8191497361491372,9
0.9094420143182276,4
1.0,0
0.842574510652155,7
0.9195941547132963,4
0.9413478366242345,2
0.9605298610655255,1
0.9173906482712664,4
0.8387541688900308,8
0.9234027758316324,3
0.9282555789512006,3
0.8703611234659502,6
0.9135335640739914,4
0.8983141231118088,5
0.9485537615301725,2
0.8680600030058638,6
0.8695105310155263,6
0.9602343676267282,1
