Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/createlayer,18951,0,11,419.3491439463461,3.0489424243569374,12099.172620102763,38.0,61.25148143752634,0.0,11,19,31,40,65,3100,8900,10000,12000,12000,12000
GET,/createproject,18833,0,23,52.49814989172551,8.701066486537457,1165.7392755150795,102.0,60.870093921847584,0.0,23,34,63,91,140,180,220,250,980,1200,1200
POST,/survey,109815,0,7,12.650766898166589,1.743106171488762,299.69026427716017,99.0,354.93279690053055,0.0,7,10,13,16,24,37,66,100,220,280,300
,Aggregated,147599,0,9,69.95323308938566,1.743106171488762,12099.172620102763,91.55068123767776,477.0543722599045,0.0,9,15,18,22,39,77,150,220,11000,12000,12000
