accuracy,failures
0.618858939753808,182
0.5951769814985484,191
0.6038976924500501,186
0.5797505017075977,205
0.5725322149411844,202
0.5634032304518983,203
0.5651244766707753,204
0.5654988451854441,191
0.6048771704654543,187
0.5889462523954603,197
0.5293968090486012,215
0.6198234611763473,181
0.556618087212913,213
0.5692140174617124,205
0.6056641381851987,185
0.5452752187958155,212
0.5488531089750793,214
0.6134319582978573,185
0.5999046972609483,191
0.5565745167818025,212
0.584357753661665,193
0.5811424502366358,196
0.5934482591099495,192
0.5880500170737777,192
0.5736947364662728,203
0.5888984270241713,192
0.6007813178856808,190
0.5939763599694992,196
0.5843734730084706,195
0.5729956624841097,205
