accuracy,failures
0.6182011413133716,63
0.7344360137056416,53
0.6926597201961295,56
0.7780512616666508,59
0.7457161037641167,68
0.7866173649958729,51
0.7278399481834451,62
0.5152050065667448,69
0.688746834750907,68
0.5638795387526571,66
0.48996591708822035,57
0.5928595743203646,63
0.6740225320603894,65
0.5246042253247278,66
0.7130160641763821,70
0.671943246019841,60
0.7463205887548847,66
0.7440139943846982,62
0.7537310527634462,55
0.7241120629116764,61
0.8077809137209411,51
0.7525032440255015,58
0.7421947937962345,60
0.5254547797545832,63
0.77073864547199,50
0.7540688727546961,59
0.6141150362421215,61
0.681773973254914,57
0.6912528304821501,59
0.644711371804347,63
