accuracy,failures
0.9020664820620796,16
0.8971046430145178,19
0.8780138381408438,21
0.9193157594414423,15
0.9220137758723443,15
0.8895573362544,20
0.9133154608060772,17
0.8967088136487056,19
0.8862026884764664,17
0.8560517173387909,25
0.8555963164275091,23
0.9034982594646059,17
0.8805025234660198,18
0.9527143862561053,9
0.9442539275349452,11
0.8651886364351276,23
0.9010711760185969,17
0.9116842348724945,18
0.9038361956635723,15
0.9214710516230527,13
0.8928360817491197,18
0.8866094808767435,18
0.8748242843536287,22
0.9030002647034925,16
0.9076271851875519,17
0.8548335289817639,23
0.9024113590662851,17
0.9057662421422144,16
0.875234372530531,19
0.9098853525137307,14
